Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Country Code
Lao People's Democratic Republic,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,LAO
Malaysia,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,MAL
Maldives,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,MLD
Marshall Islands,7.1.1 – Proportion of Population with Access to Electricity,99.8,,2021,%,7.1.1,RMI
"Micronesia, Federated States of",7.1.1 – Proportion of Population with Access to Electricity,83.6,,2021,%,7.1.1,FSM
Mongolia,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,MON
Myanmar,7.1.1 – Proportion of Population with Access to Electricity,72.5,,2021,%,7.1.1,MYA
Nauru,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,NAU
Nepal,7.1.1 – Proportion of Population with Access to Electricity,89.9,,2021,%,7.1.1,NEP
Niue,7.1.1 – Proportion of Population with Access to Electricity,99.5,,2021,%,7.1.1,NIU
Pakistan,7.1.1 – Proportion of Population with Access to Electricity,94.9,,2021,%,7.1.1,PAK
Palau,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,PLW
Papua New Guinea,7.1.1 – Proportion of Population with Access to Electricity,20.9,,2021,%,7.1.1,PNG
Philippines,7.1.1 – Proportion of Population with Access to Electricity,97.5,,2021,%,7.1.1,PHI
Samoa,7.1.1 – Proportion of Population with Access to Electricity,98.3,,2021,%,7.1.1,SAM
Singapore,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,SIN
Solomon Islands,7.1.1 – Proportion of Population with Access to Electricity,76.3,,2021,%,7.1.1,SOL
Sri Lanka,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,SRI
"Taipei,China",7.1.1 – Proportion of Population with Access to Electricity,,,,%,7.1.1,TAP
Tajikistan,7.1.1 – Proportion of Population with Access to Electricity,99.6,,2021,%,7.1.1,TAJ
Thailand,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,THA
Timor-Leste,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,TIM
Tonga,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,TON
Turkmenistan,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,TKM
Tuvalu,7.1.1 – Proportion of Population with Access to Electricity,99.7,,2021,%,7.1.1,TUV
Uzbekistan,7.1.1 – Proportion of Population with Access to Electricity,99.9,,2021,%,7.1.1,UZB
Vanuatu,7.1.1 – Proportion of Population with Access to Electricity,70,,2021,%,7.1.1,VAN
Viet Nam,7.1.1 – Proportion of Population with Access to Electricity,100,,2021,%,7.1.1,VIE
Afghanistan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,17.58,,2020,%,7.2.1,AFG
Armenia,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,8.38,,2020,%,7.2.1,ARM
Azerbaijan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,1.23,,2020,%,7.2.1,AZE
Bangladesh,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,27.96,,2020,%,7.2.1,BAN
Bhutan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,88.39,,2020,%,7.2.1,BHU
Brunei Darussalam,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,0.01,,2020,%,7.2.1,BRU
Cambodia,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,51.41,,2020,%,7.2.1,CAM
"China, People's Republic of",7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,14.81,,2020,%,7.2.1,PRC
Cook Islands,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,13.11,,2020,%,7.2.1,COO
Fiji,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,31.79,,2020,%,7.2.1,FIJ
Georgia,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,23.45,,2020,%,7.2.1,GEO
"Hong Kong, China",7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,0.27,,2020,%,7.2.1,HKG
India,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,35.82,,2020,%,7.2.1,IND
Indonesia,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,22.01,,2020,%,7.2.1,INO
Kazakhstan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,1.78,,2020,%,7.2.1,KAZ
Kiribati,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,42.75,,2020,%,7.2.1,KIR
"Korea, Republic of",7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,3.63,,2020,%,7.2.1,KOR
Kyrgyz Republic,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,30.04,,2020,%,7.2.1,KGZ
Lao People's Democratic Republic,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,49.91,,2020,%,7.2.1,LAO
Malaysia,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,5.84,,2020,%,7.2.1,MAL
Maldives,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,1.28,,2020,%,7.2.1,MLD
Marshall Islands,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,11.97,,2020,%,7.2.1,RMI
"Micronesia, Federated States of",7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,2.03,,2020,%,7.2.1,FSM
Mongolia,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,3.98,,2020,%,7.2.1,MON
Myanmar,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,59.75,,2020,%,7.2.1,MYA
Nauru,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,1.4,,2020,%,7.2.1,NAU
Nepal,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,74.54,,2020,%,7.2.1,NEP
Niue,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,22.73,,2020,%,7.2.1,NIU
Pakistan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,46.6,,2020,%,7.2.1,PAK
Palau,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,0.87,,2020,%,7.2.1,PLW
Papua New Guinea,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,54.28,,2020,%,7.2.1,PNG
Philippines,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,29.06,,2020,%,7.2.1,PHI
Samoa,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,37.54,,2020,%,7.2.1,SAM
Singapore,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,0.92,,2020,%,7.2.1,SIN
Solomon Islands,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,49.01,,2020,%,7.2.1,SOL
Sri Lanka,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,49.32,,2020,%,7.2.1,SRI
"Taipei,China",7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,2.96,https://www.iea.org/fuels-and-technologies/renewables#data-browser,2019,%,7.2.1,TAP
Tajikistan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,38.75,,2020,%,7.2.1,TAJ
Thailand,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,20.83,,2020,%,7.2.1,THA
Timor-Leste,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,11.42,,2020,%,7.2.1,TIM
Tonga,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,1.89,,2020,%,7.2.1,TON
Turkmenistan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,0.06,,2020,%,7.2.1,TKM
Tuvalu,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,6.67,,2020,%,7.2.1,TUV
Uzbekistan,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,1.03,,2020,%,7.2.1,UZB
Vanuatu,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,26.03,,2020,%,7.2.1,VAN
Viet Nam,7.2.1 – Renewable Energy Share in the Total Final Energy Consumption,19.11,,2020,%,7.2.1,VIE
Afghanistan,8.10.1 – Number of ATMs,1.640426019,,2019,"per 100,000 adults",8.10.1,AFG
Armenia,8.10.1 – Number of ATMs,67.12134501,,2021,"per 100,000 adults",8.10.1,ARM
Azerbaijan,8.10.1 – Number of ATMs,37.42611303,,2021,"per 100,000 adults",8.10.1,AZE
Bangladesh,8.10.1 – Number of ATMs,11.44947245,,2021,"per 100,000 adults",8.10.1,BAN
Bhutan,8.10.1 – Number of ATMs,45.20757244,,2021,"per 100,000 adults",8.10.1,BHU
Brunei Darussalam,8.10.1 – Number of ATMs,73.09729482,,2021,"per 100,000 adults",8.10.1,BRU
Cambodia,8.10.1 – Number of ATMs,31.6064641,,2021,"per 100,000 adults",8.10.1,CAM
"China, People's Republic of",8.10.1 – Number of ATMs,81.43663917,,2021,"per 100,000 adults",8.10.1,PRC
Cook Islands,8.10.1 – Number of ATMs,,,,"per 100,000 adults",8.10.1,COO
Fiji,8.10.1 – Number of ATMs,50.47735374,,2021,"per 100,000 adults",8.10.1,FIJ
Georgia,8.10.1 – Number of ATMs,95.39271127,,2021,"per 100,000 adults",8.10.1,GEO
"Hong Kong, China",8.10.1 – Number of ATMs,51.17489812,,2021,"per 100,000 adults",8.10.1,HKG
India,8.10.1 – Number of ATMs,21.44119899,,2021,"per 100,000 adults",8.10.1,IND
Indonesia,8.10.1 – Number of ATMs,48.09088273,,2021,"per 100,000 adults",8.10.1,INO
Kazakhstan,8.10.1 – Number of ATMs,92.46245584,,2021,"per 100,000 adults",8.10.1,KAZ
Kiribati,8.10.1 – Number of ATMs,,,,"per 100,000 adults",8.10.1,KIR
"Korea, Republic of",8.10.1 – Number of ATMs,259.4557198,,2020,"per 100,000 adults",8.10.1,KOR
Kyrgyz Republic,8.10.1 – Number of ATMs,42.30535384,,2021,"per 100,000 adults",8.10.1,KGZ
Lao People's Democratic Republic,8.10.1 – Number of ATMs,28.06124724,,2021,"per 100,000 adults",8.10.1,LAO
Malaysia,8.10.1 – Number of ATMs,54.28173421,,2021,"per 100,000 adults",8.10.1,MAL
Maldives,8.10.1 – Number of ATMs,39.94655427,,2021,"per 100,000 adults",8.10.1,MLD
Marshall Islands,8.10.1 – Number of ATMs,5.032037304,,2021,"per 100,000 adults",8.10.1,RMI
"Micronesia, Federated States of",8.10.1 – Number of ATMs,11.21411483,,2021,"per 100,000 adults",8.10.1,FSM
Mongolia,8.10.1 – Number of ATMs,45.79408204,,2021,"per 100,000 adults",8.10.1,MON
Myanmar,8.10.1 – Number of ATMs,6.863158632,,2019,"per 100,000 adults",8.10.1,MYA
Nauru,8.10.1 – Number of ATMs,,,,"per 100,000 adults",8.10.1,NAU
Nepal,8.10.1 – Number of ATMs,20.26159428,,2021,"per 100,000 adults",8.10.1,NEP
Niue,8.10.1 – Number of ATMs,,,,"per 100,000 adults",8.10.1,NIU
Pakistan,8.10.1 – Number of ATMs,11.10977993,,2021,"per 100,000 adults",8.10.1,PAK
Palau,8.10.1 – Number of ATMs,44.92110731,,2017,"per 100,000 adults",8.10.1,PLW
Papua New Guinea,8.10.1 – Number of ATMs,7.893917863,,2021,"per 100,000 adults",8.10.1,PNG
Philippines,8.10.1 – Number of ATMs,29.37402217,,2021,"per 100,000 adults",8.10.1,PHI
Samoa,8.10.1 – Number of ATMs,61.9573765,,2021,"per 100,000 adults",8.10.1,SAM
Singapore,8.10.1 – Number of ATMs,54.32730032,,2021,"per 100,000 adults",8.10.1,SIN
Solomon Islands,8.10.1 – Number of ATMs,15.0514663,,2020,"per 100,000 adults",8.10.1,SOL
Sri Lanka,8.10.1 – Number of ATMs,,,,"per 100,000 adults",8.10.1,SRI
"Taipei,China",8.10.1 – Number of ATMs,156.9441054,,2021,"per 100,000 adults",8.10.1,TAP
Tajikistan,8.10.1 – Number of ATMs,23.11746932,,2021,"per 100,000 adults",8.10.1,TAJ
Thailand,8.10.1 – Number of ATMs,108.1423827,,2021,"per 100,000 adults",8.10.1,THA
Timor-Leste,8.10.1 – Number of ATMs,13.38552907,,2021,"per 100,000 adults",8.10.1,TIM
Tonga,8.10.1 – Number of ATMs,40.51012753,,2018,"per 100,000 adults",8.10.1,TON
Turkmenistan,8.10.1 – Number of ATMs,,,,"per 100,000 adults",8.10.1,TKM
Tuvalu,8.10.1 – Number of ATMs,,,,"per 100,000 adults",8.10.1,TUV
Uzbekistan,8.10.1 – Number of ATMs,52.01247688,,2021,"per 100,000 adults",8.10.1,UZB
Vanuatu,8.10.1 – Number of ATMs,56.5584686,,2021,"per 100,000 adults",8.10.1,VAN
Viet Nam,8.10.1 – Number of ATMs,27.05232861,,2021,"per 100,000 adults",8.10.1,VIE
Afghanistan,8.10.1 – Number of Commercial Bank Branches,1.873467041,,2019,"per 100,000 adults",8.10.1,AFG
Armenia,8.10.1 – Number of Commercial Bank Branches,24.24535276,,2021,"per 100,000 adults",8.10.1,ARM
Azerbaijan,8.10.1 – Number of Commercial Bank Branches,6.499376575,,2021,"per 100,000 adults",8.10.1,AZE
Bangladesh,8.10.1 – Number of Commercial Bank Branches,8.975322319,,2021,"per 100,000 adults",8.10.1,BAN
Bhutan,8.10.1 – Number of Commercial Bank Branches,20.90425342,,2021,"per 100,000 adults",8.10.1,BHU
Brunei Darussalam,8.10.1 – Number of Commercial Bank Branches,16.24384329,,2021,"per 100,000 adults",8.10.1,BRU
Cambodia,8.10.1 – Number of Commercial Bank Branches,12.38033373,,2021,"per 100,000 adults",8.10.1,CAM
"China, People's Republic of",8.10.1 – Number of Commercial Bank Branches,8.770033509,,2021,"per 100,000 adults",8.10.1,PRC
Cook Islands,8.10.1 – Number of Commercial Bank Branches,,,,"per 100,000 adults",8.10.1,COO
Fiji,8.10.1 – Number of Commercial Bank Branches,10.59401251,,2021,"per 100,000 adults",8.10.1,FIJ
Georgia,8.10.1 – Number of Commercial Bank Branches,31.2452553,,2021,"per 100,000 adults",8.10.1,GEO
"Hong Kong, China",8.10.1 – Number of Commercial Bank Branches,19.83414991,,2021,"per 100,000 adults",8.10.1,HKG
India,8.10.1 – Number of Commercial Bank Branches,14.58121431,,2021,"per 100,000 adults",8.10.1,IND
Indonesia,8.10.1 – Number of Commercial Bank Branches,15.79775257,,2021,"per 100,000 adults",8.10.1,INO
Kazakhstan,8.10.1 – Number of Commercial Bank Branches,13.07092018,,2021,"per 100,000 adults",8.10.1,KAZ
Kiribati,8.10.1 – Number of Commercial Bank Branches,,,,"per 100,000 adults",8.10.1,KIR
"Korea, Republic of",8.10.1 – Number of Commercial Bank Branches,13.65296876,,2021,"per 100,000 adults",8.10.1,KOR
Kyrgyz Republic,8.10.1 – Number of Commercial Bank Branches,7.420048972,,2021,"per 100,000 adults",8.10.1,KGZ
Lao People's Democratic Republic,8.10.1 – Number of Commercial Bank Branches,3.13112787,,2021,"per 100,000 adults",8.10.1,LAO
Malaysia,8.10.1 – Number of Commercial Bank Branches,8.699709526,,2021,"per 100,000 adults",8.10.1,MAL
Maldives,8.10.1 – Number of Commercial Bank Branches,13.77467388,,2021,"per 100,000 adults",8.10.1,MLD
Marshall Islands,8.10.1 – Number of Commercial Bank Branches,11.74142038,,2021,"per 100,000 adults",8.10.1,RMI
"Micronesia, Federated States of",8.10.1 – Number of Commercial Bank Branches,12.46012759,,2021,"per 100,000 adults",8.10.1,FSM
Mongolia,8.10.1 – Number of Commercial Bank Branches,61.29160266,,2021,"per 100,000 adults",8.10.1,MON
Myanmar,8.10.1 – Number of Commercial Bank Branches,5.609408401,,2019,"per 100,000 adults",8.10.1,MYA
Nauru,8.10.1 – Number of Commercial Bank Branches,,,,"per 100,000 adults",8.10.1,NAU
Nepal,8.10.1 – Number of Commercial Bank Branches,22.26667228,,2021,"per 100,000 adults",8.10.1,NEP
Niue,8.10.1 – Number of Commercial Bank Branches,,,,"per 100,000 adults",8.10.1,NIU
Pakistan,8.10.1 – Number of Commercial Bank Branches,10.37750584,,2021,"per 100,000 adults",8.10.1,PAK
Palau,8.10.1 – Number of Commercial Bank Branches,,,,"per 100,000 adults",8.10.1,PLW
Papua New Guinea,8.10.1 – Number of Commercial Bank Branches,1.548487086,,2021,"per 100,000 adults",8.10.1,PNG
Philippines,8.10.1 – Number of Commercial Bank Branches,8.993534086,,2021,"per 100,000 adults",8.10.1,PHI
Samoa,8.10.1 – Number of Commercial Bank Branches,25.41841087,,2021,"per 100,000 adults",8.10.1,SAM
Singapore,8.10.1 – Number of Commercial Bank Branches,6.971480156,,2021,"per 100,000 adults",8.10.1,SIN
Solomon Islands,8.10.1 – Number of Commercial Bank Branches,3.884249369,,2020,"per 100,000 adults",8.10.1,SOL
Sri Lanka,8.10.1 – Number of Commercial Bank Branches,17.34826034,,2021,"per 100,000 adults",8.10.1,SRI
"Taipei,China",8.10.1 – Number of Commercial Bank Branches,16.61703686,,2021,"per 100,000 adults",8.10.1,TAP
Tajikistan,8.10.1 – Number of Commercial Bank Branches,3.405406246,,2021,"per 100,000 adults",8.10.1,TAJ
Thailand,8.10.1 – Number of Commercial Bank Branches,9.650232366,,2021,"per 100,000 adults",8.10.1,THA
Timor-Leste,8.10.1 – Number of Commercial Bank Branches,5.518595318,,2021,"per 100,000 adults",8.10.1,TIM
Tonga,8.10.1 – Number of Commercial Bank Branches,33.00825206,,2018,"per 100,000 adults",8.10.1,TON
Turkmenistan,8.10.1 – Number of Commercial Bank Branches,,,,"per 100,000 adults",8.10.1,TKM
Tuvalu,8.10.1 – Number of Commercial Bank Branches,,,,"per 100,000 adults",8.10.1,TUV
Uzbekistan,8.10.1 – Number of Commercial Bank Branches,48.02110211,,2021,"per 100,000 adults",8.10.1,UZB
Vanuatu,8.10.1 – Number of Commercial Bank Branches,21.08088375,,2021,"per 100,000 adults",8.10.1,VAN
Viet Nam,8.10.1 – Number of Commercial Bank Branches,2.912858555,,2021,"per 100,000 adults",8.10.1,VIE
Afghanistan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,9.65,,2021,%,8.10.2,AFG
Armenia,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,55.35,,2021,%,8.10.2,ARM
Azerbaijan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,28.57,,2017,%,8.10.2,AZE
Bangladesh,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,52.81,,2021,%,8.10.2,BAN
Bhutan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,BHU
Brunei Darussalam,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,BRU
Cambodia,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,33.39,,2021,%,8.10.2,CAM
"China, People's Republic of",8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,88.71,,2021,%,8.10.2,PRC
Cook Islands,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,COO
Fiji,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,62.7,,2017,%,8.10.2,FIJ
Georgia,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,70.5,,2021,%,8.10.2,GEO
"Hong Kong, China",8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,97.8,,2021,%,8.10.2,HKG
India,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,77.53,,2021,%,8.10.2,IND
Indonesia,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,51.76,,2021,%,8.10.2,INO
Kazakhstan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,81.11,,2021,%,8.10.2,KAZ
Kiribati,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,KIR
"Korea, Republic of",8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,98.67,,2021,%,8.10.2,KOR
Kyrgyz Republic,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,45.09,,2021,%,8.10.2,KGZ
Lao People's Democratic Republic,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,37.32,,2021,%,8.10.2,LAO
Malaysia,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,88.37,,2021,%,8.10.2,MAL
Maldives,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,79.55,,2017,%,8.10.2,MLD
Marshall Islands,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,RMI
"Micronesia, Federated States of",8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,FSM
Mongolia,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,98.46,,2021,%,8.10.2,MON
Myanmar,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,47.79,,2021,%,8.10.2,MYA
Nauru,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,NAU
Nepal,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,54,,2021,%,8.10.2,NEP
Niue,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,NIU
Pakistan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,20.98,,2021,%,8.10.2,PAK
Palau,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,PLW
Papua New Guinea,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,PNG
Philippines,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,51.37,,2021,%,8.10.2,PHI
Samoa,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,SAM
Singapore,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,97.55,,2021,%,8.10.2,SIN
Solomon Islands,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,SOL
Sri Lanka,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,89.27,,2021,%,8.10.2,SRI
"Taipei,China",8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,94.71,,2021,%,8.10.2,TAP
Tajikistan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,39.49,,2021,%,8.10.2,TAJ
Thailand,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,95.58,,2021,%,8.10.2,THA
Timor-Leste,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,TIM
Tonga,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,TON
Turkmenistan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,40.58,,2017,%,8.10.2,TKM
Tuvalu,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,TUV
Uzbekistan,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,44.13,,2021,%,8.10.2,UZB
Vanuatu,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,,,,%,8.10.2,VAN
Viet Nam,8.10.2 – Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,30.8,,2017,%,8.10.2,VIE
Afghanistan,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,7.91,,2020,%,8.2.1,AFG
Armenia,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,6.8,,2022,%,8.2.1,ARM
Azerbaijan,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,2.69,,2022,%,8.2.1,AZE
Bangladesh,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,4.06,,2022,%,8.2.1,BAN
Bhutan,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,0.87,,2022,%,8.2.1,BHU
Brunei Darussalam,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,-0.46,,2022,%,8.2.1,BRU
Cambodia,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,3.63,,2022,%,8.2.1,CAM
"China, People's Republic of",8.2.1 – Annual Growth Rate of Real GDP per Employed Person,3.36,,2022,%,8.2.1,PRC
Cook Islands,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,,,,%,8.2.1,COO
Fiji,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,10.12,,2022,%,8.2.1,FIJ
Georgia,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,8.57,,2022,%,8.2.1,GEO
"Hong Kong, China",8.2.1 – Annual Growth Rate of Real GDP per Employed Person,-0.47,,2022,%,8.2.1,HKG
India,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,3.13,,2022,%,8.2.1,IND
Indonesia,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,2.83,,2022,%,8.2.1,INO
Kazakhstan,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,0.91,,2022,%,8.2.1,KAZ
Kiribati,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,,,,%,8.2.1,KIR
"Korea, Republic of",8.2.1 – Annual Growth Rate of Real GDP per Employed Person,-0.06,,2022,%,8.2.1,KOR
Kyrgyz Republic,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,1.51,,2022,%,8.2.1,KGZ
Lao People's Democratic Republic,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,-0.58,,2022,%,8.2.1,LAO
Malaysia,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,2.66,,2022,%,8.2.1,MAL
Maldives,8.2.1 – Annual Growth Rate of Real GDP per Employed Person,6.16,,2022,%,8.2.1,MLD
